Date,minus_2inch_pct,minus_4inch_pct,minus_8inch_pct,minus_20inch_pct,minus_40inch_pct,site
2015-09-25,,14.9,22.0,0.0,,1187:CO:SNTL
2015-09-26,,12.9,20.0,1.5,,1187:CO:SNTL
2015-09-27,,12.4,21.1,1.0,,1187:CO:SNTL
2015-09-28,,13.2,21.7,0.7,,1187:CO:SNTL
2015-09-29,,12.0,21.1,1.7,,1187:CO:SNTL
2015-09-30,,12.5,20.8,0.6,,1187:CO:SNTL
2015-10-01,,13.6,21.5,0.7,,1187:CO:SNTL
2015-10-02,,12.6,21.7,0.0,,1187:CO:SNTL
2015-10-03,,11.8,21.3,1.8,,1187:CO:SNTL
2015-10-04,,13.5,21.3,0.5,,1187:CO:SNTL
2015-10-05,,13.4,20.9,0.0,,1187:CO:SNTL
2015-10-06,,11.5,18.9,2.7,,1187:CO:SNTL
2015-10-07,,12.1,20.2,0.0,,1187:CO:SNTL
2015-10-08,,13.0,19.8,0.5,,1187:CO:SNTL
2015-10-09,,13.6,20.2,0.0,,1187:CO:SNTL
2015-10-10,,14.1,20.6,1.0,,1187:CO:SNTL
2015-10-11,,12.8,19.9,1.6,,1187:CO:SNTL
2015-10-12,,13.5,21.1,0.0,,1187:CO:SNTL
2015-10-13,,11.8,19.9,0.1,,1187:CO:SNTL
2015-10-14,,14.7,21.3,0.0,,1187:CO:SNTL
2015-10-15,,12.0,18.5,2.6,,1187:CO:SNTL
2015-10-16,,14.3,21.6,0.9,,1187:CO:SNTL
2015-10-17,,12.4,19.4,0.5,,1187:CO:SNTL
2015-10-18,,11.6,20.3,0.0,,1187:CO:SNTL
2015-10-19,,12.3,20.7,0.0,,1187:CO:SNTL
2015-10-20,,12.6,19.4,0.8,,1187:CO:SNTL
2015-10-21,,13.6,20.4,2.5,,1187:CO:SNTL
2015-10-22,,13.2,21.1,0.0,,1187:CO:SNTL
2015-10-23,,12.9,19.2,0.7,,1187:CO:SNTL
2015-10-24,,11.7,19.2,1.4,,1187:CO:SNTL
2015-10-25,,12.5,20.5,1.2,,1187:CO:SNTL
2015-10-26,,12.5,20.3,0.4,,1187:CO:SNTL
2015-10-27,,11.7,18.8,1.7,,1187:CO:SNTL
2015-10-28,,11.8,20.7,0.8,,1187:CO:SNTL
2015-10-29,,12.2,19.8,0.4,,1187:CO:SNTL
2015-10-30,,13.0,19.9,0.8,,1187:CO:SNTL
2015-10-31,,13.6,20.1,1.8,,1187:CO:SNTL
2015-11-01,,11.9,19.5,1.1,,1187:CO:SNTL
2015-11-02,,12.9,20.2,0.0,,1187:CO:SNTL
2015-11-03,,11.7,18.7,0.0,,1187:CO:SNTL
2015-11-04,,12.1,20.6,1.6,,1187:CO:SNTL
2015-11-05,,12.6,20.2,0.6,,1187:CO:SNTL
2015-11-06,,12.8,20.3,0.0,,1187:CO:SNTL
2015-11-07,,13.4,20.6,0.0,,1187:CO:SNTL
2015-11-08,,11.7,20.1,0.0,,1187:CO:SNTL
2015-11-09,,12.9,21.3,0.0,,1187:CO:SNTL
2015-11-10,,11.3,19.1,0.2,,1187:CO:SNTL
2015-11-11,,12.4,19.6,0.0,,1187:CO:SNTL
2015-11-12,,12.8,21.3,1.1,,1187:CO:SNTL
2015-11-13,,13.5,20.9,2.5,,1187:CO:SNTL
2015-11-14,,12.3,19.8,0.0,,1187:CO:SNTL
2015-11-15,,14.2,20.5,1.8,,1187:CO:SNTL
2015-11-16,,13.1,21.0,2.6,,1187:CO:SNTL
2015-11-17,,11.7,19.7,0.0,,1187:CO:SNTL
2015-11-18,,13.6,19.2,0.0,,1187:CO:SNTL
2015-11-19,,13.3,19.4,1.0,,1187:CO:SNTL
2015-11-20,,12.7,21.1,0.9,,1187:CO:SNTL
2015-11-21,,12.3,20.9,0.0,,1187:CO:SNTL
2015-11-22,,12.1,19.6,0.0,,1187:CO:SNTL
2015-11-23,,12.3,20.5,0.7,,1187:CO:SNTL
2015-11-24,,12.0,20.1,0.0,,1187:CO:SNTL
2015-11-25,,14.0,21.5,1.1,,1187:CO:SNTL
2015-11-26,,12.5,20.2,0.7,,1187:CO:SNTL
2015-11-27,,13.8,21.5,3.0,,1187:CO:SNTL
2015-11-28,,12.8,21.3,1.8,,1187:CO:SNTL
2015-11-29,,13.2,21.3,2.4,,1187:CO:SNTL
2015-11-30,,13.1,21.7,0.1,,1187:CO:SNTL
2015-12-01,,12.9,19.9,0.8,,1187:CO:SNTL
2015-12-02,,13.6,21.4,0.0,,1187:CO:SNTL
2015-12-03,,11.6,20.4,2.4,,1187:CO:SNTL
2015-12-04,,13.6,21.3,0.0,,1187:CO:SNTL
2015-12-05,,14.8,20.7,0.0,,1187:CO:SNTL
2015-12-06,,14.2,18.9,0.0,,1187:CO:SNTL
2015-12-07,,14.1,20.5,2.6,,1187:CO:SNTL
2015-12-08,,14.7,20.5,0.0,,1187:CO:SNTL
2015-12-09,,13.8,20.8,0.0,,1187:CO:SNTL
2015-12-10,,14.0,21.8,3.1,,1187:CO:SNTL
2015-12-11,,14.4,21.0,0.7,,1187:CO:SNTL
2015-12-12,,13.9,21.1,0.0,,1187:CO:SNTL
2015-12-13,,12.8,19.4,0.0,,1187:CO:SNTL
2015-12-14,,14.5,19.4,0.3,,1187:CO:SNTL
2015-12-15,,13.6,19.7,0.0,,1187:CO:SNTL
2015-12-16,0.0,12.6,20.4,0.0,,1187:CO:SNTL
2015-12-17,,14.3,20.7,0.5,,1187:CO:SNTL
2015-12-18,0.0,12.2,18.7,0.8,,1187:CO:SNTL
