FID,Name,ID,State,Network,County,Elevation_,Latitude,Longitude,HUC,Date_of_Da,Date_Repor,Value_inch,Percent_NR,Percent__1,Percent_of,Percent__2,Percent__3,Percent__4,Percent__5,Percent__6,Percent__7,POR_Median,Percentile,Maximum_Ra,Minimum_Ra,Records_PO,NRCS_1991_,NRCS_19911,POR_Averag,POR_Medi_1,Minimum_PO,Maximum_PO,Year_of_Mi,Year_of_Ma,Number_of_
0,Adin Mtn,301	,California,SNOTEL,Modoc,6190,41.235830000000000,-120.791920000000005,180200021403	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",38
1,Agnew Pass,AGP	,California,Cooperator Snow Sensors,Madera,9450,37.723999999999997,-119.143000000000001,180400060401	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0, ,3.500000000000000,0.000000000000000,3.400000000000000,0,0,61.100000000000001,"2015, 2016, 2018, more",1995,19
2,Agua Canyon,907	,Utah,SNOTEL,Kane,8900,37.522170000000003,-112.271180000000001,160300020301	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",28
3,Aiken Lake,4A30P	,British Columbia,Cooperator Snow Sensors, ,3481,56.433329999999998,-125.733329999999995, ,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.200000000000000,"2016, 2017, 2018, more","2012, 2014",29
4,Albro Lake,916	,Montana,SNOTEL,Madison,8300,45.597230000000003,-111.959019999999995,100200050701	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",8.699999999999999,322,0,300,0,36,39,40,39,40,8.699999999999999,88,4,23, ,2.700000000000000,0.000000000000000,2.900000000000000,0,0,21.100000000000001,"2017, 2018, 2021, more",2011,26
5,Alexander Lake,1267	,Alaska,SNOTEL,Matanuska-Susitna,160,61.749670000000002,-150.889669999999995,190205051106	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",1.000000000000000,0,0,0,0,8,0,0,11,11,1.000000000000000,100,1,8,Highest,0.000000000000000,0.000000000000000,0.000000000000000,0,0,1.000000000000000,"2019, 2020, 2021, more",2022,8
6,Alpha,ALP	,California,Cooperator Snow Sensors,El Dorado,7600,38.805000000000000,-120.215000000000003,180201290204	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,91,6,1,Lowest,2.300000000000000,0.000000000000000,2.100000000000000,0,0,31.100000000000001,"2020, 2021, 2022, more",1983,55
7,Alpine Meadows,908	,Washington,SNOTEL,King,3500,47.779570000000000,-121.698470000000000,171100100501	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",26.199999999999999,153,211,147,202,48,47,45,46,44,13.199999999999999,74,8,21, ,17.100000000000001,12.400000000000000,17.800000000000001,13,0,79.200000000000003,"2015, 2016, 2019, more",2008,28
8,American Creek,1189	,Alaska,SNOTEL,Southeast Fairbanks,1050,64.789689999999993,-141.233759999999990,190705050504	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",11
9,Anchor River Divide,1062	,Alaska,SNOTEL,Kenai Peninsula,1653,59.859720000000003,-151.314999999999998,190203010701	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",32
10,Anchorage Hillside,1070	,Alaska,SNOTEL,Anchorage,2080,61.114829999999998,-149.666830000000004,190204010601	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",17
11,Aneroid Lake #2,302	,Oregon,SNOTEL,Wallowa,7400,45.213279999999997,-117.192580000000007,170601050101	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",9.699999999999999,149,242,156,359,46,36,37,36,37,7.000000000000000,74,11,29, ,6.500000000000000,4.000000000000000,6.200000000000000,3,0,24.899999999999999,"2003, 2015, 2018, more",1995,39
12,Annie Springs,1000	,Oregon,SNOTEL,Klamath,6010,42.870069999999998,-122.165180000000007,180102030101	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,71,7,1,Lowest,4.800000000000000,0.000000000000000,4.300000000000000,0,0,34.799999999999997,"2020, 2021, 2022, more",2011,22
13,Apishapa,303	,Colorado,SNOTEL,Huerfano,10027,37.330669999999998,-105.067660000000004,110200060406	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.100000000000000,0,0,0,0,1,1,1,1,1,0.100000000000000,100,1,43,Highest,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.100000000000000,"2019, 2020, 2021, more",2022,43
14,Arapaho Ridge,1030	,Colorado,SNOTEL,Grand,10976,40.350980000000000,-106.381410000000002,140100010604	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,74,6,1,Lowest,1.800000000000000,0.000000000000000,1.600000000000000,0,0,15.900000000000000,"2020, 2021, 2022, more",2011,20
15,Arbuckle Mtn,304	,Oregon,SNOTEL,Morrow,5770,45.190849999999998,-119.253919999999994,170702020604	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",44
16,Atlanta Summit,306	,Idaho,SNOTEL,Elmore,7580,43.756900000000002,-115.239069999999998,170501110204	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,79,9,1,Lowest,1.700000000000000,0.000000000000000,1.600000000000000,0,0,17.699999999999999,"2020, 2021, 2022, more",1995,40
17,Azure,1E08P	,British Columbia,Cooperator Snow Sensors, ,5331,52.583329999999997,-119.716669999999993, ,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",39.700000000000003,261,261,242,235,61,76,76,76,77,22.800000000000001,95,2,22,2nd Highest,15.199999999999999,15.199999999999999,16.399999999999999,17,0,53.299999999999997,2018,1999,23
18,Badger Pass,307	,Montana,SNOTEL,Pondera,6900,48.130879999999998,-113.023169999999993,100302010201	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",1.300000000000000,14,0,18,433,3,4,4,4,4,1.000000000000000,60,18,25, ,9.100000000000000,0.000000000000000,7.400000000000000,0,0,41.500000000000000,"2019, 2020, 2021, more",2008,43
19,Baker Butte,308	,Arizona,SNOTEL,Coconino,7363,34.456539999999997,-111.406509999999997,150602030206	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",42
20,Baker Butte Smt,1140	,Arizona,SNOTEL,Coconino,7752,34.455520000000000,-111.382620000000003,150602030103	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,0,0,0, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2019, 2020, 2021, more","2019, 2020, 2021, more",13
21,Bald Mtn.,309	,Wyoming,SNOTEL,Big Horn,9380,44.800699999999999,-107.844420000000000,100800100501	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",3.400000000000000,89,1700,83,1700,17,15,15,15,15,3.200000000000000,67,15,30, ,3.800000000000000,0.200000000000000,4.100000000000000,0,0,32.399999999999999,"2018, 2020, 2021, more",2011,44
22,Baldy,310	,Arizona,SNOTEL,Apache,9221,33.978450000000002,-109.503569999999996,150200010203	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",42
23,Banfield Mountain,311	,Montana,SNOTEL,Lincoln,5600,48.571199999999997,-115.445729999999998,170101011202	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,96,3,1,Lowest,0.100000000000000,0.000000000000000,0.000000000000000,0,0,2.000000000000000,"2020, 2021, 2022, more",2011,54
24,Banner Summit,312	,Idaho,SNOTEL,Boise,7040,44.303420000000003,-115.234470000000002,170501200202	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,88,6,1,Lowest,0.300000000000000,0.000000000000000,0.600000000000000,0,0,11.300000000000001,"2020, 2021, 2022, more",1982,42
25,Bar M,1212	,Arizona,SNOTEL,Coconino,6397,34.861420000000003,-111.604969999999994,150602020601	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",0.000000000000000,0,0,0,0,0,0,0,0,0,0.000000000000000,100,1,1, ,0.000000000000000,0.000000000000000,0.000000000000000,0,0,0.000000000000000,"2020, 2021, 2022, more","2020, 2021, 2022, more",10
26,Barker Lakes,313	,Montana,SNOTEL,Deer Lodge,8250,46.097130000000000,-113.130380000000002,170102010304	,"June 19, 2022, end of day","6-20-2022, 03:06 PM MDT",6.800000000000000,227,0,243,0,41,38,39,38,40,6.800000000000000,86,7,37, ,3.000000000000000,0.000000000000000,2.800000000000000,0,0,22.300000000000001,"2016, 2017, 2021, more",2011,43
