index,code,name,network,location,elevation_m,site_property
SNOTEL:301_CA_SNTL,301_CA_SNTL,Adin Mtn,SNOTEL,"{'latitude': '41.2358283996582', 'longitude': '-120.79192352294922'}",1886.7120361328125,"{'county': 'Modoc', 'state': 'California', 'site_comments': 'beginDate=10/1/1983 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=180200021403|HUD=18020002|TimeZone=-8.0|actonId=20H13S|shefId=ADMC1|stationTriplet=301:CA:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:907_UT_SNTL,907_UT_SNTL,Agua Canyon,SNOTEL,"{'latitude': '37.522171020507813', 'longitude': '-112.27117919921875'}",2712.719970703125,"{'county': 'Kane', 'state': 'Utah', 'site_comments': 'beginDate=10/1/1994 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=160300020301|HUD=16030002|TimeZone=-8.0|actonId=12M26S|shefId=AGUU1|stationTriplet=907:UT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:916_MT_SNTL,916_MT_SNTL,Albro Lake,SNOTEL,"{'latitude': '45.59722900390625', 'longitude': '-111.95902252197266'}",2529.840087890625,"{'county': 'Madison', 'state': 'Montana', 'site_comments': 'beginDate=9/1/1996 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200050701|HUD=10020005|TimeZone=-8.0|actonId=11D28S|shefId=ABRM8|stationTriplet=916:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1267_AK_SNTL,1267_AK_SNTL,Alexander Lake,SNOTEL,"{'latitude': '61.749668121337891', 'longitude': '-150.88966369628906'}",48.768001556396484,"{'county': 'Matanuska-Susitna', 'state': 'Alaska', 'site_comments': 'beginDate=8/28/2014 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=190205051106|HUD=|TimeZone=-9.0|actonId=50M01S|shefId=ALXA2|stationTriplet=1267:AK:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:908_WA_SNTL,908_WA_SNTL,Alpine Meadows,SNOTEL,"{'latitude': '47.779571533203125', 'longitude': '-121.69847106933594'}",1066.800048828125,"{'county': 'King', 'state': 'Washington', 'site_comments': 'beginDate=9/1/1994 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=171100100501|HUD=17110010|TimeZone=-8.0|actonId=21B48S|shefId=APSW1|stationTriplet=908:WA:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1189_AK_SNTL,1189_AK_SNTL,American Creek,SNOTEL,"{'latitude': '64.789688110351563', 'longitude': '-141.2337646484375'}",320.04000854492188,"{'county': 'Southeast Fairbanks', 'state': 'Alaska', 'site_comments': 'beginDate=8/4/2011 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=190705050504|HUD=19040401|TimeZone=-9.0|actonId=41P07S|shefId=AMCA2|stationTriplet=1189:AK:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1062_AK_SNTL,1062_AK_SNTL,Anchor River Divide,SNOTEL,"{'latitude': '59.859718322753906', 'longitude': '-151.31500244140625'}",503.83441162109375,"{'county': 'Kenai Peninsula', 'state': 'Alaska', 'site_comments': 'beginDate=10/1/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=190203010701|HUD=19020301|TimeZone=-9.0|actonId=51K05S|shefId=ARDA2|stationTriplet=1062:AK:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1070_AK_SNTL,1070_AK_SNTL,Anchorage Hillside,SNOTEL,"{'latitude': '61.114830017089844', 'longitude': '-149.66682434082031'}",633.9840087890625,"{'county': 'Anchorage', 'state': 'Alaska', 'site_comments': 'beginDate=10/1/2004 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=190204010601|HUD=19020401|TimeZone=-9.0|actonId=49M22S|shefId=HILA2|stationTriplet=1070:AK:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:302_OR_SNTL,302_OR_SNTL,Aneroid Lake #2,SNOTEL,"{'latitude': '45.213279724121094', 'longitude': '-117.19258117675781'}",2255.52001953125,"{'county': 'Wallowa', 'state': 'Oregon', 'site_comments': 'beginDate=10/1/1980 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170601050101|HUD=17060105|TimeZone=-8.0|actonId=17D02S|shefId=ANRO3|stationTriplet=302:OR:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1000_OR_SNTL,1000_OR_SNTL,Annie Springs,SNOTEL,"{'latitude': '42.870071411132813', 'longitude': '-122.16517639160156'}",1831.8480224609375,"{'county': 'Klamath', 'state': 'Oregon', 'site_comments': 'beginDate=9/1/2000 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=180102030101|HUD=18010201|TimeZone=-8.0|actonId=22G06S|shefId=ANSO3|stationTriplet=1000:OR:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:303_CO_SNTL,303_CO_SNTL,Apishapa,SNOTEL,"{'latitude': '37.330619812011719', 'longitude': '-105.06748962402344'}",3048,"{'county': 'Huerfano', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=110200060406|HUD=11020007|TimeZone=-8.0|actonId=05M07S|shefId=APSC2|stationTriplet=303:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1030_CO_SNTL,1030_CO_SNTL,Arapaho Ridge,SNOTEL,"{'latitude': '40.350978851318359', 'longitude': '-106.38141632080078'}",3340.60791015625,"{'county': 'Grand', 'state': 'Colorado', 'site_comments': 'beginDate=8/1/2002 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140100010604|HUD=14010001|TimeZone=-8.0|actonId=06J08S|shefId=ARPC2|stationTriplet=1030:CO:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:304_OR_SNTL,304_OR_SNTL,Arbuckle Mtn,SNOTEL,"{'latitude': '45.190849304199219', 'longitude': '-119.25392150878906'}",1758.696044921875,"{'county': 'Morrow', 'state': 'Oregon', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170702020604|HUD=17070202|TimeZone=-8.0|actonId=19D02S|shefId=ARBO3|stationTriplet=304:OR:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:305_CO_SNTL,305_CO_SNTL,Arrow,SNOTEL,"{'latitude': '39.915500640869141', 'longitude': '-105.76083374023438'}",2950.464111328125,"{'county': 'Grand', 'state': 'Colorado', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=10/1/2013 12:00:00 AM|HUC=140100010202|HUD=14010001|TimeZone=-8.0|actonId=05K06S|shefId=AROC2|stationTriplet=305:CO:SNTL|isActive=False', 'pos_accuracy_m': '0'}"
SNOTEL:957_AK_SNTL,957_AK_SNTL,Atigun Pass,SNOTEL,"{'latitude': '68.129829406738281', 'longitude': '-149.47816467285156'}",1463.0400390625,"{'county': 'North Slope', 'state': 'Alaska', 'site_comments': 'beginDate=10/1/1981 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=190802010102|HUD=19040301|TimeZone=-9.0|actonId=49T03S|shefId=ATGA2|stationTriplet=957:AK:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:306_ID_SNTL,306_ID_SNTL,Atlanta Summit,SNOTEL,"{'latitude': '43.756900787353516', 'longitude': '-115.23906707763672'}",2310.384033203125,"{'county': 'Elmore', 'state': 'Idaho', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170501110204|HUD=17050111|TimeZone=-8.0|actonId=15F04S|shefId=ATAI1|stationTriplet=306:ID:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:8082_UT_SNTL,8082_UT_SNTL,Atwood Lake,SNOTEL,"{'latitude': '40.733329772949219', 'longitude': '-110.28333282470703'}",3304.031982421875,"{'county': 'Duchesne', 'state': 'Utah', 'site_comments': 'beginDate=9/1/1977 12:00:00 AM|endDate=10/1/1989 12:00:00 AM|HUC=140600031102|HUD=14060003|TimeZone=-8.0|actonId=|shefId=ATWU1|stationTriplet=8082:UT:SNTL|isActive=False', 'pos_accuracy_m': '0'}"
SNOTEL:307_MT_SNTL,307_MT_SNTL,Badger Pass,SNOTEL,"{'latitude': '48.130878448486328', 'longitude': '-113.02317047119141'}",2103.1201171875,"{'county': 'Pondera', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100302010201|HUD=10030201|TimeZone=-8.0|actonId=13A15S|shefId=BADM8|stationTriplet=307:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:308_AZ_SNTL,308_AZ_SNTL,Baker Butte,SNOTEL,"{'latitude': '34.456600189208984', 'longitude': '-111.40643310546875'}",2225.0400390625,"{'county': 'Gila', 'state': 'Arizona', 'site_comments': 'beginDate=10/1/1965 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=150602030206|HUD=15060203|TimeZone=-8.0|actonId=11R06S|shefId=BKBA3|stationTriplet=308:AZ:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1140_AZ_SNTL,1140_AZ_SNTL,Baker Butte Smt,SNOTEL,"{'latitude': '34.455471038818359', 'longitude': '-111.38272094726563'}",2346.9599609375,"{'county': 'Coconino', 'state': 'Arizona', 'site_comments': 'beginDate=5/18/2009 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=150602030103|HUD=15060203|TimeZone=-8.0|actonId=11R07S|shefId=BBSA3|stationTriplet=1140:AZ:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:309_WY_SNTL,309_WY_SNTL,Bald Mtn.,SNOTEL,"{'latitude': '44.800701141357422', 'longitude': '-107.84442138671875'}",2859.02392578125,"{'county': 'Big Horn', 'state': 'Wyoming', 'site_comments': 'beginDate=10/1/1975 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100800100501|HUD=10080016|TimeZone=-8.0|actonId=07E21S|shefId=BLDW4|stationTriplet=309:WY:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:310_AZ_SNTL,310_AZ_SNTL,Baldy,SNOTEL,"{'latitude': '33.978828430175781', 'longitude': '-109.50344085693359'}",2781.300048828125,"{'county': 'Apache', 'state': 'Arizona', 'site_comments': 'beginDate=11/1/1949 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=150200010203|HUD=15060102|TimeZone=-8.0|actonId=09S01S|shefId=BLDA3|stationTriplet=310:AZ:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:311_MT_SNTL,311_MT_SNTL,Banfield Mountain,SNOTEL,"{'latitude': '48.571201324462891', 'longitude': '-115.44573211669922'}",1706.8800048828125,"{'county': 'Lincoln', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1968 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170101011202|HUD=17010101|TimeZone=-8.0|actonId=15A08S|shefId=BANM8|stationTriplet=311:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:312_ID_SNTL,312_ID_SNTL,Banner Summit,SNOTEL,"{'latitude': '44.303421020507813', 'longitude': '-115.23446655273438'}",2145.7919921875,"{'county': 'Boise', 'state': 'Idaho', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170501200202|HUD=17050120|TimeZone=-8.0|actonId=15E11S|shefId=BASI1|stationTriplet=312:ID:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:1212_AZ_SNTL,1212_AZ_SNTL,Bar M,SNOTEL,"{'latitude': '34.861358642578125', 'longitude': '-111.60502624511719'}",1948.58642578125,"{'county': 'Coconino', 'state': 'Arizona', 'site_comments': 'beginDate=9/6/2012 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=150602020601|HUD=15060202|TimeZone=-8.0|actonId=11R13S|shefId=BRMA3|stationTriplet=1212:AZ:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:313_MT_SNTL,313_MT_SNTL,Barker Lakes,SNOTEL,"{'latitude': '46.097129821777344', 'longitude': '-113.13037872314453'}",2514.60009765625,"{'county': 'Deer Lodge', 'state': 'Montana', 'site_comments': 'beginDate=8/1/1977 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102010304|HUD=17010201|TimeZone=-8.0|actonId=13C44S|shefId=BRLM8|stationTriplet=313:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:314_WY_SNTL,314_WY_SNTL,Base Camp,SNOTEL,"{'latitude': '43.940189361572266', 'longitude': '-110.44544219970703'}",2151.887939453125,"{'county': 'Teton', 'state': 'Wyoming', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170401010304|HUD=17040101|TimeZone=-8.0|actonId=10F02S|shefId=BSCW4|stationTriplet=314:WY:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:315_MT_SNTL,315_MT_SNTL,Basin Creek,SNOTEL,"{'latitude': '45.797370910644531', 'longitude': '-112.52046966552734'}",2188.464111328125,"{'county': 'Silver Bow', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170102010201|HUD=10020005|TimeZone=-8.0|actonId=12D09S|shefId=BSCM8|stationTriplet=315:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:316_NM_SNTL,316_NM_SNTL,Bateman,SNOTEL,"{'latitude': '36.512161254882813', 'longitude': '-106.3212890625'}",2834.639892578125,"{'county': 'Rio Arriba', 'state': 'New Mexico', 'site_comments': 'beginDate=10/1/1978 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=130201020901|HUD=13020102|TimeZone=-8.0|actonId=06N04S|shefId=BAMN5|stationTriplet=316:NM:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:317_WY_SNTL,317_WY_SNTL,Battle Mountain,SNOTEL,"{'latitude': '41.054130554199219', 'longitude': '-107.26609039306641'}",2267.7119140625,"{'county': 'Carbon', 'state': 'Wyoming', 'site_comments': 'beginDate=10/1/1985 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=140500030109|HUD=14050003|TimeZone=-8.0|actonId=07H04S|shefId=BTLW4|stationTriplet=317:WY:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:318_MT_SNTL,318_MT_SNTL,Beagle Springs,SNOTEL,"{'latitude': '44.471469879150391', 'longitude': '-112.98191070556641'}",2697.47998046875,"{'county': 'Beaverhead', 'state': 'Montana', 'site_comments': 'beginDate=10/1/1976 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=100200010501|HUD=10020001|TimeZone=-8.0|actonId=12E08S|shefId=BEAM8|stationTriplet=318:MT:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
SNOTEL:319_ID_SNTL,319_ID_SNTL,Bear Basin,SNOTEL,"{'latitude': '44.952220916748047', 'longitude': '-116.14292907714844'}",1630.6800537109375,"{'county': 'Adams', 'state': 'Idaho', 'site_comments': 'beginDate=10/1/1979 12:00:00 AM|endDate=1/1/2100 12:00:00 AM|HUC=170602100104|HUD=17060210|TimeZone=-8.0|actonId=16E11S|shefId=BRBI1|stationTriplet=319:ID:SNTL|isActive=True', 'pos_accuracy_m': '0'}"
